Fecha,Hora,Condicion,Temperatura,Lluvia,Prob_lluvia,Humedad,Ciudad,Region,Pais,Latitud,Longitud,Fecha_Hora_local
2025-03-30,0,Clear ,23.5,0,0,83.0,Asuncion,Central,Paraguay,-25.2667,-57.6667,2025-03-30 13:16
2025-04-01,0,Overcast ,17.5,0,0,96.0,Asuncion,Central,Paraguay,-25.2667,-57.6667,2025-03-30 13:16
2025-03-31,0,Clear ,25.0,0,0,76.0,Asuncion,Central,Paraguay,-25.2667,-57.6667,2025-03-30 13:16
2025-03-30,1,Clear ,23.2,0,0,82.0,Asuncion,Central,Paraguay,-25.2667,-57.6667,2025-03-30 13:16
2025-04-01,1,Patchy rain nearby,17.4,0,69,95.0,Asuncion,Central,Paraguay,-25.2667,-57.6667,2025-03-30 13:16
2025-03-31,1,Clear ,24.7,0,0,76.0,Asuncion,Central,Paraguay,-25.2667,-57.6667,2025-03-30 13:16
2025-03-30,2,Clear ,22.9,0,0,83.0,Asuncion,Central,Paraguay,-25.2667,-57.6667,2025-03-30 13:16
2025-04-01,2,Patchy rain nearby,17.3,1,75,95.0,Asuncion,Central,Paraguay,-25.2667,-57.6667,2025-03-30 13:16
2025-03-31,2,Clear ,24.3,0,0,77.0,Asuncion,Central,Paraguay,-25.2667,-57.6667,2025-03-30 13:16
2025-04-01,3,Overcast ,17.4,0,0,94.0,Asuncion,Central,Paraguay,-25.2667,-57.6667,2025-03-30 13:16
2025-03-31,3,Clear ,24.0,0,0,78.0,Asuncion,Central,Paraguay,-25.2667,-57.6667,2025-03-30 13:16
2025-03-30,3,Clear ,22.7,0,0,83.0,Asuncion,Central,Paraguay,-25.2667,-57.6667,2025-03-30 13:16
2025-03-31,4,Clear ,24.0,0,0,79.0,Asuncion,Central,Paraguay,-25.2667,-57.6667,2025-03-30 13:16
2025-03-30,4,Clear ,22.7,0,0,83.0,Asuncion,Central,Paraguay,-25.2667,-57.6667,2025-03-30 13:16
2025-04-01,4,Patchy rain nearby,17.4,0,60,93.0,Asuncion,Central,Paraguay,-25.2667,-57.6667,2025-03-30 13:16
2025-03-31,5,Patchy rain nearby,23.9,1,100,79.0,Asuncion,Central,Paraguay,-25.2667,-57.6667,2025-03-30 13:16
2025-03-30,5,Clear ,22.6,0,0,84.0,Asuncion,Central,Paraguay,-25.2667,-57.6667,2025-03-30 13:16
2025-04-01,5,Patchy rain nearby,17.3,1,80,91.0,Asuncion,Central,Paraguay,-25.2667,-57.6667,2025-03-30 13:16
2025-03-31,6,Patchy rain nearby,22.0,1,100,92.0,Asuncion,Central,Paraguay,-25.2667,-57.6667,2025-03-30 13:16
2025-04-01,6,Patchy rain nearby,17.2,0,68,90.0,Asuncion,Central,Paraguay,-25.2667,-57.6667,2025-03-30 13:16
2025-03-30,6,Sunny,22.5,0,0,85.0,Asuncion,Central,Paraguay,-25.2667,-57.6667,2025-03-30 13:16
2025-04-01,7,Patchy rain nearby,17.1,1,100,89.0,Asuncion,Central,Paraguay,-25.2667,-57.6667,2025-03-30 13:16
2025-03-30,7,Sunny,24.1,0,0,78.0,Asuncion,Central,Paraguay,-25.2667,-57.6667,2025-03-30 13:16
2025-03-31,7,Patchy rain nearby,22.8,1,100,92.0,Asuncion,Central,Paraguay,-25.2667,-57.6667,2025-03-30 13:16
2025-04-01,8,Patchy rain nearby,17.0,1,73,89.0,Asuncion,Central,Paraguay,-25.2667,-57.6667,2025-03-30 13:16
2025-03-30,8,Sunny,27.1,0,0,65.0,Asuncion,Central,Paraguay,-25.2667,-57.6667,2025-03-30 13:16
2025-03-31,8,Partly Cloudy ,24.4,0,0,88.0,Asuncion,Central,Paraguay,-25.2667,-57.6667,2025-03-30 13:16
2025-04-01,9,Patchy rain nearby,17.2,0,68,88.0,Asuncion,Central,Paraguay,-25.2667,-57.6667,2025-03-30 13:16
2025-03-30,9,Sunny,29.8,0,0,55.0,Asuncion,Central,Paraguay,-25.2667,-57.6667,2025-03-30 13:16
2025-03-31,9,Cloudy ,24.5,0,0,88.0,Asuncion,Central,Paraguay,-25.2667,-57.6667,2025-03-30 13:16
2025-03-31,10,Patchy light drizzle,23.8,1,100,93.0,Asuncion,Central,Paraguay,-25.2667,-57.6667,2025-03-30 13:16
2025-04-01,10,Overcast ,17.7,0,0,85.0,Asuncion,Central,Paraguay,-25.2667,-57.6667,2025-03-30 13:16
2025-03-30,10,Sunny,32.1,0,0,48.0,Asuncion,Central,Paraguay,-25.2667,-57.6667,2025-03-30 13:16
2025-04-01,11,Overcast ,18.7,0,0,82.0,Asuncion,Central,Paraguay,-25.2667,-57.6667,2025-03-30 13:16
2025-03-31,11,Mist,23.6,1,100,94.0,Asuncion,Central,Paraguay,-25.2667,-57.6667,2025-03-30 13:16
2025-03-30,11,Sunny,34.0,0,0,43.0,Asuncion,Central,Paraguay,-25.2667,-57.6667,2025-03-30 13:16
2025-03-31,12,Light rain shower,24.7,1,100,89.0,Asuncion,Central,Paraguay,-25.2667,-57.6667,2025-03-30 13:16
2025-04-01,12,Overcast ,20.3,0,0,77.0,Asuncion,Central,Paraguay,-25.2667,-57.6667,2025-03-30 13:16
2025-03-30,12,Sunny,35.4,0,0,39.0,Asuncion,Central,Paraguay,-25.2667,-57.6667,2025-03-30 13:16
2025-04-01,13,Overcast ,23.0,0,0,69.0,Asuncion,Central,Paraguay,-25.2667,-57.6667,2025-03-30 13:16
2025-03-31,13,Light rain shower,24.1,1,100,93.0,Asuncion,Central,Paraguay,-25.2667,-57.6667,2025-03-30 13:16
2025-03-30,13,Partly cloudy,33.1,0,0,53.0,Asuncion,Central,Paraguay,-25.2667,-57.6667,2025-03-30 13:16
2025-03-31,14,Light rain shower,23.8,1,100,95.0,Asuncion,Central,Paraguay,-25.2667,-57.6667,2025-03-30 13:16
2025-04-01,14,Overcast ,24.1,0,0,67.0,Asuncion,Central,Paraguay,-25.2667,-57.6667,2025-03-30 13:16
2025-03-30,14,Sunny,36.6,0,0,34.0,Asuncion,Central,Paraguay,-25.2667,-57.6667,2025-03-30 13:16
2025-03-31,15,Moderate rain,24.3,1,100,92.0,Asuncion,Central,Paraguay,-25.2667,-57.6667,2025-03-30 13:16
2025-03-30,15,Patchy light rain,36.7,1,100,33.0,Asuncion,Central,Paraguay,-25.2667,-57.6667,2025-03-30 13:16
2025-04-01,15,Overcast ,24.8,0,0,65.0,Asuncion,Central,Paraguay,-25.2667,-57.6667,2025-03-30 13:16
2025-03-30,16,Partly Cloudy ,34.5,0,0,40.0,Asuncion,Central,Paraguay,-25.2667,-57.6667,2025-03-30 13:16
2025-03-31,16,Moderate rain,23.1,1,100,97.0,Asuncion,Central,Paraguay,-25.2667,-57.6667,2025-03-30 13:16
2025-04-01,16,Overcast ,24.6,0,0,66.0,Asuncion,Central,Paraguay,-25.2667,-57.6667,2025-03-30 13:16
2025-03-30,17,Patchy rain nearby,32.6,1,100,46.0,Asuncion,Central,Paraguay,-25.2667,-57.6667,2025-03-30 13:16
2025-04-01,17,Overcast ,23.5,0,0,71.0,Asuncion,Central,Paraguay,-25.2667,-57.6667,2025-03-30 13:16
2025-03-31,17,Moderate rain,21.5,1,100,97.0,Asuncion,Central,Paraguay,-25.2667,-57.6667,2025-03-30 13:16
2025-04-01,18,Overcast ,22.3,0,0,73.0,Asuncion,Central,Paraguay,-25.2667,-57.6667,2025-03-30 13:16
2025-03-31,18,Light rain shower,19.3,1,100,98.0,Asuncion,Central,Paraguay,-25.2667,-57.6667,2025-03-30 13:16
2025-03-30,18,Patchy light drizzle,30.4,1,100,52.0,Asuncion,Central,Paraguay,-25.2667,-57.6667,2025-03-30 13:16
2025-03-30,19,Patchy rain nearby,28.2,1,71,62.0,Asuncion,Central,Paraguay,-25.2667,-57.6667,2025-03-30 13:16
2025-04-01,19,Overcast ,21.7,0,0,74.0,Asuncion,Central,Paraguay,-25.2667,-57.6667,2025-03-30 13:16
2025-03-31,19,Patchy rain nearby,18.6,1,85,97.0,Asuncion,Central,Paraguay,-25.2667,-57.6667,2025-03-30 13:16
2025-04-01,20,Overcast ,21.1,0,0,74.0,Asuncion,Central,Paraguay,-25.2667,-57.6667,2025-03-30 13:16
2025-03-31,20,Overcast ,18.4,0,0,97.0,Asuncion,Central,Paraguay,-25.2667,-57.6667,2025-03-30 13:16
2025-03-30,20,Clear ,26.6,0,0,67.0,Asuncion,Central,Paraguay,-25.2667,-57.6667,2025-03-30 13:16
2025-03-30,21,Clear ,25.9,0,0,71.0,Asuncion,Central,Paraguay,-25.2667,-57.6667,2025-03-30 13:16
2025-04-01,21,Overcast ,20.7,0,0,74.0,Asuncion,Central,Paraguay,-25.2667,-57.6667,2025-03-30 13:16
2025-03-31,21,Overcast ,18.3,0,0,97.0,Asuncion,Central,Paraguay,-25.2667,-57.6667,2025-03-30 13:16
2025-04-01,22,Partly Cloudy ,20.4,0,0,75.0,Asuncion,Central,Paraguay,-25.2667,-57.6667,2025-03-30 13:16
2025-03-30,22,Clear ,25.6,0,0,73.0,Asuncion,Central,Paraguay,-25.2667,-57.6667,2025-03-30 13:16
2025-03-31,22,Overcast ,18.1,0,0,96.0,Asuncion,Central,Paraguay,-25.2667,-57.6667,2025-03-30 13:16
