Fecha,Hora,Condicion,Temperatura,Lluvia,Prob_lluvia,Humedad,Ciudad,Region,Pais,Latitud,Longitud,Fecha_Hora_local
2025-03-30,0,Light rain shower,11.5,1,100,93.0,Bogota,Cundinamarca,Colombia,4.6,-74.0833,2025-03-30 11:08
2025-04-01,0,Mist,11.1,1,100,96.0,Bogota,Cundinamarca,Colombia,4.6,-74.0833,2025-03-30 11:08
2025-03-31,0,Light rain shower,11.4,1,100,95.0,Bogota,Cundinamarca,Colombia,4.6,-74.0833,2025-03-30 11:08
2025-03-30,1,Mist,11.2,1,100,94.0,Bogota,Cundinamarca,Colombia,4.6,-74.0833,2025-03-30 11:08
2025-04-01,1,Mist,10.6,0,56,96.0,Bogota,Cundinamarca,Colombia,4.6,-74.0833,2025-03-30 11:08
2025-03-31,1,Patchy light drizzle,11.4,1,100,95.0,Bogota,Cundinamarca,Colombia,4.6,-74.0833,2025-03-30 11:08
2025-03-30,2,Mist,11.0,1,100,95.0,Bogota,Cundinamarca,Colombia,4.6,-74.0833,2025-03-30 11:08
2025-04-01,2,Patchy rain nearby,10.4,0,54,96.0,Bogota,Cundinamarca,Colombia,4.6,-74.0833,2025-03-30 11:08
2025-03-31,2,Light rain shower,11.4,1,100,95.0,Bogota,Cundinamarca,Colombia,4.6,-74.0833,2025-03-30 11:08
2025-04-01,3,Mist,10.4,1,74,96.0,Bogota,Cundinamarca,Colombia,4.6,-74.0833,2025-03-30 11:08
2025-03-31,3,Light rain shower,11.5,1,100,95.0,Bogota,Cundinamarca,Colombia,4.6,-74.0833,2025-03-30 11:08
2025-03-30,3,Mist,10.7,1,79,95.0,Bogota,Cundinamarca,Colombia,4.6,-74.0833,2025-03-30 11:08
2025-03-31,4,Light rain shower,11.4,1,100,95.0,Bogota,Cundinamarca,Colombia,4.6,-74.0833,2025-03-30 11:08
2025-03-30,4,Mist,10.5,1,100,95.0,Bogota,Cundinamarca,Colombia,4.6,-74.0833,2025-03-30 11:08
2025-04-01,4,Mist,10.4,1,81,96.0,Bogota,Cundinamarca,Colombia,4.6,-74.0833,2025-03-30 11:08
2025-03-31,5,Light rain shower,11.2,1,100,95.0,Bogota,Cundinamarca,Colombia,4.6,-74.0833,2025-03-30 11:08
2025-03-30,5,Mist,10.5,1,83,95.0,Bogota,Cundinamarca,Colombia,4.6,-74.0833,2025-03-30 11:08
2025-04-01,5,Mist,10.2,1,76,96.0,Bogota,Cundinamarca,Colombia,4.6,-74.0833,2025-03-30 11:08
2025-03-31,6,Light rain shower,11.3,1,100,95.0,Bogota,Cundinamarca,Colombia,4.6,-74.0833,2025-03-30 11:08
2025-04-01,6,Mist,10.5,0,61,95.0,Bogota,Cundinamarca,Colombia,4.6,-74.0833,2025-03-30 11:08
2025-03-30,6,Mist,10.6,1,100,95.0,Bogota,Cundinamarca,Colombia,4.6,-74.0833,2025-03-30 11:08
2025-04-01,7,Patchy rain nearby,11.5,0,69,93.0,Bogota,Cundinamarca,Colombia,4.6,-74.0833,2025-03-30 11:08
2025-03-30,7,Patchy rain nearby,11.9,1,100,92.0,Bogota,Cundinamarca,Colombia,4.6,-74.0833,2025-03-30 11:08
2025-03-31,7,Light rain shower,11.9,1,100,94.0,Bogota,Cundinamarca,Colombia,4.6,-74.0833,2025-03-30 11:08
2025-04-01,8,Patchy rain nearby,12.7,1,100,88.0,Bogota,Cundinamarca,Colombia,4.6,-74.0833,2025-03-30 11:08
2025-03-30,8,Patchy rain nearby,13.0,1,100,88.0,Bogota,Cundinamarca,Colombia,4.6,-74.0833,2025-03-30 11:08
2025-03-31,8,Light rain shower,12.4,1,100,91.0,Bogota,Cundinamarca,Colombia,4.6,-74.0833,2025-03-30 11:08
2025-04-01,9,Patchy rain nearby,14.2,1,100,82.0,Bogota,Cundinamarca,Colombia,4.6,-74.0833,2025-03-30 11:08
2025-03-30,9,Patchy rain nearby,14.0,1,100,84.0,Bogota,Cundinamarca,Colombia,4.6,-74.0833,2025-03-30 11:08
2025-03-31,9,Light rain shower,12.9,1,100,90.0,Bogota,Cundinamarca,Colombia,4.6,-74.0833,2025-03-30 11:08
2025-03-31,10,Light rain shower,13.3,1,100,89.0,Bogota,Cundinamarca,Colombia,4.6,-74.0833,2025-03-30 11:08
2025-04-01,10,Patchy rain nearby,15.7,1,100,76.0,Bogota,Cundinamarca,Colombia,4.6,-74.0833,2025-03-30 11:08
2025-03-30,10,Light rain shower,14.6,1,100,82.0,Bogota,Cundinamarca,Colombia,4.6,-74.0833,2025-03-30 11:08
2025-04-01,11,Patchy rain nearby,16.9,1,100,73.0,Bogota,Cundinamarca,Colombia,4.6,-74.0833,2025-03-30 11:08
2025-03-31,11,Light rain shower,13.2,1,100,90.0,Bogota,Cundinamarca,Colombia,4.6,-74.0833,2025-03-30 11:08
2025-03-30,11,Overcast,18.3,1,100,68.0,Bogota,Cundinamarca,Colombia,4.6,-74.0833,2025-03-30 11:08
2025-03-31,12,Light rain shower,13.3,1,100,90.0,Bogota,Cundinamarca,Colombia,4.6,-74.0833,2025-03-30 11:08
2025-04-01,12,Patchy rain nearby,16.5,1,100,76.0,Bogota,Cundinamarca,Colombia,4.6,-74.0833,2025-03-30 11:08
2025-03-30,12,Patchy rain nearby,16.8,1,100,74.0,Bogota,Cundinamarca,Colombia,4.6,-74.0833,2025-03-30 11:08
2025-04-01,13,Patchy light rain,15.5,1,100,81.0,Bogota,Cundinamarca,Colombia,4.6,-74.0833,2025-03-30 11:08
2025-03-31,13,Light rain shower,13.7,1,100,89.0,Bogota,Cundinamarca,Colombia,4.6,-74.0833,2025-03-30 11:08
2025-03-30,13,Patchy rain nearby,16.4,1,100,75.0,Bogota,Cundinamarca,Colombia,4.6,-74.0833,2025-03-30 11:08
2025-03-31,14,Patchy rain nearby,14.6,1,100,85.0,Bogota,Cundinamarca,Colombia,4.6,-74.0833,2025-03-30 11:08
2025-04-01,14,Light rain shower,15.5,1,100,82.0,Bogota,Cundinamarca,Colombia,4.6,-74.0833,2025-03-30 11:08
2025-03-30,14,Light rain shower,15.3,1,100,82.0,Bogota,Cundinamarca,Colombia,4.6,-74.0833,2025-03-30 11:08
2025-03-31,15,Patchy light rain,14.4,1,100,87.0,Bogota,Cundinamarca,Colombia,4.6,-74.0833,2025-03-30 11:08
2025-03-30,15,Light rain,14.9,1,100,84.0,Bogota,Cundinamarca,Colombia,4.6,-74.0833,2025-03-30 11:08
2025-04-01,15,Patchy light rain,15.4,1,100,83.0,Bogota,Cundinamarca,Colombia,4.6,-74.0833,2025-03-30 11:08
2025-03-30,16,Patchy rain nearby,14.5,1,100,85.0,Bogota,Cundinamarca,Colombia,4.6,-74.0833,2025-03-30 11:08
2025-03-31,16,Light rain shower,13.5,1,100,91.0,Bogota,Cundinamarca,Colombia,4.6,-74.0833,2025-03-30 11:08
2025-04-01,16,Light rain shower,15.2,1,100,83.0,Bogota,Cundinamarca,Colombia,4.6,-74.0833,2025-03-30 11:08
2025-03-30,17,Patchy light drizzle,13.9,1,100,89.0,Bogota,Cundinamarca,Colombia,4.6,-74.0833,2025-03-30 11:08
2025-04-01,17,Patchy rain nearby,14.1,1,100,88.0,Bogota,Cundinamarca,Colombia,4.6,-74.0833,2025-03-30 11:08
2025-03-31,17,Patchy light rain,12.4,1,100,95.0,Bogota,Cundinamarca,Colombia,4.6,-74.0833,2025-03-30 11:08
2025-04-01,18,Patchy rain nearby,12.3,1,100,92.0,Bogota,Cundinamarca,Colombia,4.6,-74.0833,2025-03-30 11:08
2025-03-31,18,Light rain shower,12.0,1,100,96.0,Bogota,Cundinamarca,Colombia,4.6,-74.0833,2025-03-30 11:08
2025-03-30,18,Light rain shower,12.6,1,100,94.0,Bogota,Cundinamarca,Colombia,4.6,-74.0833,2025-03-30 11:08
2025-03-30,19,Patchy light drizzle,12.0,1,100,95.0,Bogota,Cundinamarca,Colombia,4.6,-74.0833,2025-03-30 11:08
2025-04-01,19,Patchy light drizzle,12.2,1,100,94.0,Bogota,Cundinamarca,Colombia,4.6,-74.0833,2025-03-30 11:08
2025-03-31,19,Patchy light drizzle,11.9,1,100,96.0,Bogota,Cundinamarca,Colombia,4.6,-74.0833,2025-03-30 11:08
2025-04-01,20,Patchy rain nearby,12.1,1,100,94.0,Bogota,Cundinamarca,Colombia,4.6,-74.0833,2025-03-30 11:08
2025-03-31,20,Patchy light drizzle,11.7,1,100,96.0,Bogota,Cundinamarca,Colombia,4.6,-74.0833,2025-03-30 11:08
2025-03-30,20,Light rain shower,12.1,1,100,95.0,Bogota,Cundinamarca,Colombia,4.6,-74.0833,2025-03-30 11:08
2025-03-30,21,Patchy light drizzle,12.0,1,100,94.0,Bogota,Cundinamarca,Colombia,4.6,-74.0833,2025-03-30 11:08
2025-04-01,21,Patchy light drizzle,11.8,1,100,95.0,Bogota,Cundinamarca,Colombia,4.6,-74.0833,2025-03-30 11:08
2025-03-31,21,Patchy light drizzle,11.4,1,100,97.0,Bogota,Cundinamarca,Colombia,4.6,-74.0833,2025-03-30 11:08
2025-04-01,22,Mist,11.3,1,100,95.0,Bogota,Cundinamarca,Colombia,4.6,-74.0833,2025-03-30 11:08
2025-03-30,22,Light rain shower,11.8,1,100,94.0,Bogota,Cundinamarca,Colombia,4.6,-74.0833,2025-03-30 11:08
2025-03-31,22,Light rain shower,11.3,1,100,97.0,Bogota,Cundinamarca,Colombia,4.6,-74.0833,2025-03-30 11:08
2025-03-31,23,Light rain shower,11.2,1,100,96.0,Bogota,Cundinamarca,Colombia,4.6,-74.0833,2025-03-30 11:08
2025-03-30,23,Patchy light drizzle,11.7,1,100,94.0,Bogota,Cundinamarca,Colombia,4.6,-74.0833,2025-03-30 11:08
2025-04-01,23,Light drizzle,11.2,1,100,96.0,Bogota,Cundinamarca,Colombia,4.6,-74.0833,2025-03-30 11:08
