Fecha,Hora,Condicion,Temperatura,Lluvia,Prob_lluvia,Humedad,Ciudad,Region,Pais,Latitud,Longitud,Fecha_Hora_local
2025-03-30,0,Clear ,19.7,0,0,75.0,Buenos Aires,Distrito Federal,Argentina,-34.5875,-58.6725,2025-03-30 13:16
2025-04-01,0,Clear ,13.9,0,0,65.0,Buenos Aires,Distrito Federal,Argentina,-34.5875,-58.6725,2025-03-30 13:16
2025-03-31,0,Light rain shower,14.8,1,100,93.0,Buenos Aires,Distrito Federal,Argentina,-34.5875,-58.6725,2025-03-30 13:16
2025-03-30,1,Clear ,19.1,0,0,76.0,Buenos Aires,Distrito Federal,Argentina,-34.5875,-58.6725,2025-03-30 13:16
2025-04-01,1,Clear ,13.2,0,0,64.0,Buenos Aires,Distrito Federal,Argentina,-34.5875,-58.6725,2025-03-30 13:16
2025-03-31,1,Moderate or heavy rain shower,14.6,1,100,93.0,Buenos Aires,Distrito Federal,Argentina,-34.5875,-58.6725,2025-03-30 13:16
2025-03-30,2,Clear ,18.8,0,0,73.0,Buenos Aires,Distrito Federal,Argentina,-34.5875,-58.6725,2025-03-30 13:16
2025-04-01,2,Clear ,12.6,0,0,66.0,Buenos Aires,Distrito Federal,Argentina,-34.5875,-58.6725,2025-03-30 13:16
2025-03-31,2,Light rain shower,14.3,1,100,95.0,Buenos Aires,Distrito Federal,Argentina,-34.5875,-58.6725,2025-03-30 13:16
2025-04-01,3,Clear ,12.0,0,0,68.0,Buenos Aires,Distrito Federal,Argentina,-34.5875,-58.6725,2025-03-30 13:16
2025-03-31,3,Light rain shower,14.0,1,100,94.0,Buenos Aires,Distrito Federal,Argentina,-34.5875,-58.6725,2025-03-30 13:16
2025-03-30,3,Clear ,18.7,0,0,68.0,Buenos Aires,Distrito Federal,Argentina,-34.5875,-58.6725,2025-03-30 13:16
2025-03-31,4,Patchy rain nearby,13.8,0,70,92.0,Buenos Aires,Distrito Federal,Argentina,-34.5875,-58.6725,2025-03-30 13:16
2025-03-30,4,Clear ,18.4,0,0,66.0,Buenos Aires,Distrito Federal,Argentina,-34.5875,-58.6725,2025-03-30 13:16
2025-04-01,4,Clear ,11.7,0,0,71.0,Buenos Aires,Distrito Federal,Argentina,-34.5875,-58.6725,2025-03-30 13:16
2025-03-31,5,Patchy rain nearby,13.3,1,83,88.0,Buenos Aires,Distrito Federal,Argentina,-34.5875,-58.6725,2025-03-30 13:16
2025-03-30,5,Clear ,18.0,0,0,65.0,Buenos Aires,Distrito Federal,Argentina,-34.5875,-58.6725,2025-03-30 13:16
2025-04-01,5,Clear ,11.4,0,0,73.0,Buenos Aires,Distrito Federal,Argentina,-34.5875,-58.6725,2025-03-30 13:16
2025-03-31,6,Patchy light drizzle,13.0,1,100,86.0,Buenos Aires,Distrito Federal,Argentina,-34.5875,-58.6725,2025-03-30 13:16
2025-04-01,6,Clear ,11.2,0,0,74.0,Buenos Aires,Distrito Federal,Argentina,-34.5875,-58.6725,2025-03-30 13:16
2025-03-30,6,Clear ,17.8,0,0,63.0,Buenos Aires,Distrito Federal,Argentina,-34.5875,-58.6725,2025-03-30 13:16
2025-04-01,7,Clear ,11.0,0,0,75.0,Buenos Aires,Distrito Federal,Argentina,-34.5875,-58.6725,2025-03-30 13:16
2025-03-30,7,Clear ,17.8,0,0,60.0,Buenos Aires,Distrito Federal,Argentina,-34.5875,-58.6725,2025-03-30 13:16
