Fecha,Hora,Condicion,Temperatura,Lluvia,Prob_lluvia,Humedad,Ciudad,Region,Pais,Latitud,Longitud,Fecha_Hora_local
2025-03-30,0,Clear ,17.4,0,0,84.0,Caracas,Distrito Federal,Venezuela,10.5,-66.9167,2025-03-30 12:14
2025-04-01,0,Partly Cloudy ,18.9,0,0,90.0,Caracas,Distrito Federal,Venezuela,10.5,-66.9167,2025-03-30 12:14
2025-03-31,0,Partly Cloudy ,17.9,0,0,90.0,Caracas,Distrito Federal,Venezuela,10.5,-66.9167,2025-03-30 12:14
2025-03-30,1,Clear ,17.2,0,0,85.0,Caracas,Distrito Federal,Venezuela,10.5,-66.9167,2025-03-30 12:14
2025-04-01,1,Partly Cloudy ,18.7,0,0,90.0,Caracas,Distrito Federal,Venezuela,10.5,-66.9167,2025-03-30 12:14
2025-03-31,1,Partly Cloudy ,17.9,0,0,90.0,Caracas,Distrito Federal,Venezuela,10.5,-66.9167,2025-03-30 12:14
2025-03-30,2,Clear ,17.0,0,0,87.0,Caracas,Distrito Federal,Venezuela,10.5,-66.9167,2025-03-30 12:14
2025-04-01,2,Partly Cloudy ,17.9,0,0,93.0,Caracas,Distrito Federal,Venezuela,10.5,-66.9167,2025-03-30 12:14
2025-03-31,2,Partly Cloudy ,17.9,0,0,90.0,Caracas,Distrito Federal,Venezuela,10.5,-66.9167,2025-03-30 12:14
2025-04-01,3,Mist,17.3,0,0,94.0,Caracas,Distrito Federal,Venezuela,10.5,-66.9167,2025-03-30 12:14
2025-03-31,3,Partly Cloudy ,18.3,0,0,90.0,Caracas,Distrito Federal,Venezuela,10.5,-66.9167,2025-03-30 12:14
2025-03-30,3,Clear ,16.7,0,0,89.0,Caracas,Distrito Federal,Venezuela,10.5,-66.9167,2025-03-30 12:14
2025-03-31,4,Partly Cloudy ,18.3,0,0,90.0,Caracas,Distrito Federal,Venezuela,10.5,-66.9167,2025-03-30 12:14
2025-03-30,4,Clear ,16.6,0,0,90.0,Caracas,Distrito Federal,Venezuela,10.5,-66.9167,2025-03-30 12:14
