Fecha,Hora,Condicion,Temperatura,Lluvia,Prob_lluvia,Humedad,Ciudad,Region,Pais,Latitud,Longitud,Fecha_Hora_local
2025-03-30,0,Patchy light drizzle,7.6,1,100,86.0,La Paz,La Paz,Bolivia,-16.5,-68.15,2025-03-30 12:16
2025-04-01,0,Patchy light drizzle,7.1,1,100,87.0,La Paz,La Paz,Bolivia,-16.5,-68.15,2025-03-30 12:16
2025-03-31,0,Partly Cloudy ,3.9,0,0,85.0,La Paz,La Paz,Bolivia,-16.5,-68.15,2025-03-30 12:16
2025-03-30,1,Light rain shower,7.6,1,100,87.0,La Paz,La Paz,Bolivia,-16.5,-68.15,2025-03-30 12:16
2025-04-01,1,Patchy rain nearby,7.0,1,100,88.0,La Paz,La Paz,Bolivia,-16.5,-68.15,2025-03-30 12:16
2025-03-31,1,Partly Cloudy ,3.5,0,0,86.0,La Paz,La Paz,Bolivia,-16.5,-68.15,2025-03-30 12:16
2025-03-30,2,Patchy light rain in area with thunder,7.4,1,100,88.0,La Paz,La Paz,Bolivia,-16.5,-68.15,2025-03-30 12:16
2025-04-01,2,Patchy light rain,6.6,1,100,90.0,La Paz,La Paz,Bolivia,-16.5,-68.15,2025-03-30 12:16
2025-03-31,2,Partly Cloudy ,3.3,0,0,86.0,La Paz,La Paz,Bolivia,-16.5,-68.15,2025-03-30 12:16
2025-04-01,3,Patchy light rain,6.2,1,100,89.0,La Paz,La Paz,Bolivia,-16.5,-68.15,2025-03-30 12:16
2025-03-31,3,Partly Cloudy ,2.9,0,0,87.0,La Paz,La Paz,Bolivia,-16.5,-68.15,2025-03-30 12:16
2025-03-30,3,Patchy light rain in area with thunder,7.0,1,100,90.0,La Paz,La Paz,Bolivia,-16.5,-68.15,2025-03-30 12:16
2025-03-31,4,Partly Cloudy ,2.8,0,0,87.0,La Paz,La Paz,Bolivia,-16.5,-68.15,2025-03-30 12:16
2025-03-30,4,Light rain,6.2,1,100,92.0,La Paz,La Paz,Bolivia,-16.5,-68.15,2025-03-30 12:16
2025-04-01,4,Patchy light rain,6.1,1,100,89.0,La Paz,La Paz,Bolivia,-16.5,-68.15,2025-03-30 12:16
2025-03-31,5,Patchy rain nearby,2.9,1,71,88.0,La Paz,La Paz,Bolivia,-16.5,-68.15,2025-03-30 12:16
2025-03-30,5,Light sleet,5.6,1,100,92.0,La Paz,La Paz,Bolivia,-16.5,-68.15,2025-03-30 12:16
2025-04-01,5,Light sleet,5.8,1,100,91.0,La Paz,La Paz,Bolivia,-16.5,-68.15,2025-03-30 12:16
