Fecha,Hora,Condicion,Temperatura,Lluvia,Prob_lluvia,Humedad,Ciudad,Region,Pais,Latitud,Longitud,Fecha_Hora_local
2025-03-30,0,Partly Cloudy ,21.8,0,0,77.0,Lima,Lima,Peru,-12.05,-77.05,2025-03-30 11:16
2025-04-01,0,Clear ,20.2,0,0,84.0,Lima,Lima,Peru,-12.05,-77.05,2025-03-30 11:16
2025-03-31,0,Partly Cloudy ,20.3,0,0,85.0,Lima,Lima,Peru,-12.05,-77.05,2025-03-30 11:16
2025-03-30,1,Partly Cloudy ,21.8,0,0,78.0,Lima,Lima,Peru,-12.05,-77.05,2025-03-30 11:16
2025-04-01,1,Partly Cloudy ,19.9,0,0,85.0,Lima,Lima,Peru,-12.05,-77.05,2025-03-30 11:16
2025-03-31,1,Partly Cloudy ,20.2,0,0,86.0,Lima,Lima,Peru,-12.05,-77.05,2025-03-30 11:16
2025-03-30,2,Partly Cloudy ,21.7,0,0,79.0,Lima,Lima,Peru,-12.05,-77.05,2025-03-30 11:16
2025-04-01,2,Partly Cloudy ,19.9,0,0,85.0,Lima,Lima,Peru,-12.05,-77.05,2025-03-30 11:16
2025-03-31,2,Patchy rain nearby,20.4,1,73,87.0,Lima,Lima,Peru,-12.05,-77.05,2025-03-30 11:16
2025-04-01,3,Partly Cloudy ,20.6,0,0,85.0,Lima,Lima,Peru,-12.05,-77.05,2025-03-30 11:16
2025-03-31,3,Patchy rain nearby,20.0,0,60,89.0,Lima,Lima,Peru,-12.05,-77.05,2025-03-30 11:16
2025-03-30,3,Partly Cloudy ,21.6,0,0,79.0,Lima,Lima,Peru,-12.05,-77.05,2025-03-30 11:16
2025-03-31,4,Patchy rain nearby,19.9,0,67,89.0,Lima,Lima,Peru,-12.05,-77.05,2025-03-30 11:16
2025-03-30,4,Partly Cloudy ,21.5,0,0,80.0,Lima,Lima,Peru,-12.05,-77.05,2025-03-30 11:16
2025-04-01,4,Partly Cloudy ,20.5,0,0,86.0,Lima,Lima,Peru,-12.05,-77.05,2025-03-30 11:16
2025-03-31,5,Patchy rain nearby,19.8,1,86,89.0,Lima,Lima,Peru,-12.05,-77.05,2025-03-30 11:16
2025-03-30,5,Partly Cloudy ,21.3,0,0,81.0,Lima,Lima,Peru,-12.05,-77.05,2025-03-30 11:16
2025-04-01,5,Partly Cloudy ,20.1,0,0,86.0,Lima,Lima,Peru,-12.05,-77.05,2025-03-30 11:16
2025-03-31,6,Cloudy ,19.9,0,0,90.0,Lima,Lima,Peru,-12.05,-77.05,2025-03-30 11:16
2025-04-01,6,Partly Cloudy ,20.0,0,0,87.0,Lima,Lima,Peru,-12.05,-77.05,2025-03-30 11:16
2025-03-30,6,Cloudy ,21.2,0,0,82.0,Lima,Lima,Peru,-12.05,-77.05,2025-03-30 11:16
2025-04-01,7,Partly Cloudy ,20.6,0,0,86.0,Lima,Lima,Peru,-12.05,-77.05,2025-03-30 11:16
2025-03-30,7,Partly Cloudy ,21.2,0,0,82.0,Lima,Lima,Peru,-12.05,-77.05,2025-03-30 11:16
2025-03-31,7,Cloudy ,20.6,0,0,89.0,Lima,Lima,Peru,-12.05,-77.05,2025-03-30 11:16
2025-04-01,8,Partly Cloudy ,20.9,0,0,85.0,Lima,Lima,Peru,-12.05,-77.05,2025-03-30 11:16
2025-03-30,8,Partly Cloudy ,21.6,0,0,80.0,Lima,Lima,Peru,-12.05,-77.05,2025-03-30 11:16
2025-03-31,8,Partly Cloudy ,21.0,0,0,87.0,Lima,Lima,Peru,-12.05,-77.05,2025-03-30 11:16
