Fecha,Hora,Condicion,Temperatura,Lluvia,Prob_lluvia,Humedad,Ciudad,Region,Pais,Latitud,Longitud,Fecha_Hora_local
2025-03-30,0,Clear ,25.4,0,0,72.0,Managua,Managua,Nicaragua,12.1508,-86.2683,2025-03-30 10:16
2025-04-01,0,Partly Cloudy ,25.0,0,0,73.0,Managua,Managua,Nicaragua,12.1508,-86.2683,2025-03-30 10:16
2025-03-31,0,Clear ,25.3,0,0,71.0,Managua,Managua,Nicaragua,12.1508,-86.2683,2025-03-30 10:16
2025-03-30,1,Clear ,24.9,0,0,73.0,Managua,Managua,Nicaragua,12.1508,-86.2683,2025-03-30 10:16
2025-04-01,1,Clear ,24.8,0,0,74.0,Managua,Managua,Nicaragua,12.1508,-86.2683,2025-03-30 10:16
2025-03-31,1,Clear ,24.9,0,0,71.0,Managua,Managua,Nicaragua,12.1508,-86.2683,2025-03-30 10:16
2025-03-30,2,Clear ,24.6,0,0,75.0,Managua,Managua,Nicaragua,12.1508,-86.2683,2025-03-30 10:16
2025-04-01,2,Clear ,24.4,0,0,72.0,Managua,Managua,Nicaragua,12.1508,-86.2683,2025-03-30 10:16
2025-03-31,2,Clear ,24.6,0,0,70.0,Managua,Managua,Nicaragua,12.1508,-86.2683,2025-03-30 10:16
2025-04-01,3,Clear ,24.2,0,0,72.0,Managua,Managua,Nicaragua,12.1508,-86.2683,2025-03-30 10:16
2025-03-31,3,Clear ,24.4,0,0,72.0,Managua,Managua,Nicaragua,12.1508,-86.2683,2025-03-30 10:16
2025-03-30,3,Clear ,24.1,0,0,78.0,Managua,Managua,Nicaragua,12.1508,-86.2683,2025-03-30 10:16
2025-03-31,4,Clear ,24.1,0,0,74.0,Managua,Managua,Nicaragua,12.1508,-86.2683,2025-03-30 10:16
2025-03-30,4,Clear ,23.6,0,0,80.0,Managua,Managua,Nicaragua,12.1508,-86.2683,2025-03-30 10:16
2025-04-01,4,Clear ,23.8,0,0,73.0,Managua,Managua,Nicaragua,12.1508,-86.2683,2025-03-30 10:16
2025-03-31,5,Clear ,23.8,0,0,75.0,Managua,Managua,Nicaragua,12.1508,-86.2683,2025-03-30 10:16
2025-03-30,5,Clear ,23.2,0,0,82.0,Managua,Managua,Nicaragua,12.1508,-86.2683,2025-03-30 10:16
2025-04-01,5,Clear ,23.6,0,0,76.0,Managua,Managua,Nicaragua,12.1508,-86.2683,2025-03-30 10:16
2025-03-31,6,Sunny,23.8,0,0,78.0,Managua,Managua,Nicaragua,12.1508,-86.2683,2025-03-30 10:16
2025-04-01,6,Sunny,23.7,0,0,78.0,Managua,Managua,Nicaragua,12.1508,-86.2683,2025-03-30 10:16
2025-03-30,6,Sunny,23.1,0,0,83.0,Managua,Managua,Nicaragua,12.1508,-86.2683,2025-03-30 10:16
