Fecha,Hora,Condicion,Temperatura,Lluvia,Prob_lluvia,Humedad,Ciudad,Region,Pais,Latitud,Longitud,Fecha_Hora_local
2025-03-30,0,Clear ,18.6,0,0,25.0,Mexico City,The Federal District,Mexico,19.4285,-99.1277,2025-03-30 10:16
2025-04-01,0,Clear ,20.0,0,0,33.0,Mexico City,The Federal District,Mexico,19.4285,-99.1277,2025-03-30 10:16
2025-03-31,0,Partly Cloudy ,19.6,0,0,19.0,Mexico City,The Federal District,Mexico,19.4285,-99.1277,2025-03-30 10:16
2025-03-30,1,Clear ,17.6,0,0,25.0,Mexico City,The Federal District,Mexico,19.4285,-99.1277,2025-03-30 10:16
2025-04-01,1,Clear ,18.6,0,0,39.0,Mexico City,The Federal District,Mexico,19.4285,-99.1277,2025-03-30 10:16
2025-03-31,1,Clear ,18.6,0,0,19.0,Mexico City,The Federal District,Mexico,19.4285,-99.1277,2025-03-30 10:16
2025-03-30,2,Clear ,16.6,0,0,27.0,Mexico City,The Federal District,Mexico,19.4285,-99.1277,2025-03-30 10:16
2025-04-01,2,Clear ,17.5,0,0,58.0,Mexico City,The Federal District,Mexico,19.4285,-99.1277,2025-03-30 10:16
2025-03-31,2,Partly Cloudy ,17.8,0,0,21.0,Mexico City,The Federal District,Mexico,19.4285,-99.1277,2025-03-30 10:16
2025-04-01,3,Clear ,16.6,0,0,68.0,Mexico City,The Federal District,Mexico,19.4285,-99.1277,2025-03-30 10:16
2025-03-31,3,Cloudy ,17.1,0,0,22.0,Mexico City,The Federal District,Mexico,19.4285,-99.1277,2025-03-30 10:16
2025-03-30,3,Clear ,15.7,0,0,28.0,Mexico City,The Federal District,Mexico,19.4285,-99.1277,2025-03-30 10:16
2025-03-31,4,Cloudy ,16.3,0,0,24.0,Mexico City,The Federal District,Mexico,19.4285,-99.1277,2025-03-30 10:16
2025-03-30,4,Clear ,14.9,0,0,30.0,Mexico City,The Federal District,Mexico,19.4285,-99.1277,2025-03-30 10:16
2025-04-01,4,Clear ,15.6,0,0,77.0,Mexico City,The Federal District,Mexico,19.4285,-99.1277,2025-03-30 10:16
2025-03-31,5,Cloudy ,15.6,0,0,26.0,Mexico City,The Federal District,Mexico,19.4285,-99.1277,2025-03-30 10:16
2025-03-30,5,Clear ,14.2,0,0,32.0,Mexico City,The Federal District,Mexico,19.4285,-99.1277,2025-03-30 10:16
2025-04-01,5,Clear ,14.8,0,0,82.0,Mexico City,The Federal District,Mexico,19.4285,-99.1277,2025-03-30 10:16
2025-03-31,6,Cloudy ,15.0,0,0,27.0,Mexico City,The Federal District,Mexico,19.4285,-99.1277,2025-03-30 10:16
2025-04-01,6,Clear ,14.2,0,0,85.0,Mexico City,The Federal District,Mexico,19.4285,-99.1277,2025-03-30 10:16
2025-03-30,6,Clear ,13.6,0,0,33.0,Mexico City,The Federal District,Mexico,19.4285,-99.1277,2025-03-30 10:16
2025-04-01,7,Sunny,15.4,0,0,88.0,Mexico City,The Federal District,Mexico,19.4285,-99.1277,2025-03-30 10:16
2025-03-30,7,Sunny,13.2,0,0,33.0,Mexico City,The Federal District,Mexico,19.4285,-99.1277,2025-03-30 10:16
2025-03-31,7,Sunny,16.0,0,0,28.0,Mexico City,The Federal District,Mexico,19.4285,-99.1277,2025-03-30 10:16
2025-04-01,8,Sunny,16.7,0,0,59.0,Mexico City,The Federal District,Mexico,19.4285,-99.1277,2025-03-30 10:16
2025-03-30,8,Sunny,14.7,0,0,30.0,Mexico City,The Federal District,Mexico,19.4285,-99.1277,2025-03-30 10:16
2025-03-31,8,Sunny,17.1,0,0,23.0,Mexico City,The Federal District,Mexico,19.4285,-99.1277,2025-03-30 10:16
2025-04-01,9,Sunny,18.2,0,0,45.0,Mexico City,The Federal District,Mexico,19.4285,-99.1277,2025-03-30 10:16
2025-03-30,9,Sunny,16.9,0,0,23.0,Mexico City,The Federal District,Mexico,19.4285,-99.1277,2025-03-30 10:16
2025-03-31,9,Partly Cloudy ,18.3,0,0,21.0,Mexico City,The Federal District,Mexico,19.4285,-99.1277,2025-03-30 10:16
2025-03-31,10,Partly Cloudy ,20.9,0,0,19.0,Mexico City,The Federal District,Mexico,19.4285,-99.1277,2025-03-30 10:16
2025-04-01,10,Sunny,21.1,0,0,30.0,Mexico City,The Federal District,Mexico,19.4285,-99.1277,2025-03-30 10:16
2025-03-30,10,Sunny,20.2,0,0,19.0,Mexico City,The Federal District,Mexico,19.4285,-99.1277,2025-03-30 10:16
2025-04-01,11,Sunny,23.7,0,0,23.0,Mexico City,The Federal District,Mexico,19.4285,-99.1277,2025-03-30 10:16
2025-03-31,11,Partly Cloudy ,23.2,0,0,15.0,Mexico City,The Federal District,Mexico,19.4285,-99.1277,2025-03-30 10:16
2025-03-30,11,Sunny,23.0,0,0,16.0,Mexico City,The Federal District,Mexico,19.4285,-99.1277,2025-03-30 10:16
2025-03-31,12,Partly Cloudy ,25.3,0,0,13.0,Mexico City,The Federal District,Mexico,19.4285,-99.1277,2025-03-30 10:16
2025-04-01,12,Sunny,26.1,0,0,19.0,Mexico City,The Federal District,Mexico,19.4285,-99.1277,2025-03-30 10:16
2025-03-30,12,Sunny,24.8,0,0,13.0,Mexico City,The Federal District,Mexico,19.4285,-99.1277,2025-03-30 10:16
2025-04-01,13,Sunny,27.7,0,0,15.0,Mexico City,The Federal District,Mexico,19.4285,-99.1277,2025-03-30 10:16
2025-03-31,13,Sunny,26.9,0,0,11.0,Mexico City,The Federal District,Mexico,19.4285,-99.1277,2025-03-30 10:16
