Fecha,Hora,Condicion,Temperatura,Lluvia,Prob_lluvia,Humedad,Ciudad,Region,Pais,Latitud,Longitud,Fecha_Hora_local
2025-03-30,0,Clear ,18.4,0,0,70.0,Montevideo,Montevideo,Uruguay,-34.8581,-56.1708,2025-03-30 13:16
2025-04-01,0,Patchy rain nearby,16.5,1,75,63.0,Montevideo,Montevideo,Uruguay,-34.8581,-56.1708,2025-03-30 13:16
2025-03-31,0,Light rain shower,21.9,1,100,84.0,Montevideo,Montevideo,Uruguay,-34.8581,-56.1708,2025-03-30 13:16
2025-03-30,1,Clear ,17.9,0,0,69.0,Montevideo,Montevideo,Uruguay,-34.8581,-56.1708,2025-03-30 13:16
2025-04-01,1,Cloudy ,16.7,0,0,59.0,Montevideo,Montevideo,Uruguay,-34.8581,-56.1708,2025-03-30 13:16
2025-03-31,1,Light rain shower,21.5,1,100,94.0,Montevideo,Montevideo,Uruguay,-34.8581,-56.1708,2025-03-30 13:16
2025-03-30,2,Clear ,17.5,0,0,67.0,Montevideo,Montevideo,Uruguay,-34.8581,-56.1708,2025-03-30 13:16
2025-04-01,2,Partly Cloudy ,16.6,0,0,58.0,Montevideo,Montevideo,Uruguay,-34.8581,-56.1708,2025-03-30 13:16
2025-03-31,2,Moderate or heavy rain shower,20.5,1,100,95.0,Montevideo,Montevideo,Uruguay,-34.8581,-56.1708,2025-03-30 13:16
2025-04-01,3,Partly Cloudy ,16.0,0,0,59.0,Montevideo,Montevideo,Uruguay,-34.8581,-56.1708,2025-03-30 13:16
2025-03-31,3,Light rain shower,19.4,1,100,93.0,Montevideo,Montevideo,Uruguay,-34.8581,-56.1708,2025-03-30 13:16
2025-03-30,3,Clear ,17.3,0,0,67.0,Montevideo,Montevideo,Uruguay,-34.8581,-56.1708,2025-03-30 13:16
2025-03-31,4,Light rain shower,18.8,1,100,92.0,Montevideo,Montevideo,Uruguay,-34.8581,-56.1708,2025-03-30 13:16
2025-03-30,4,Clear ,17.3,0,0,67.0,Montevideo,Montevideo,Uruguay,-34.8581,-56.1708,2025-03-30 13:16
2025-04-01,4,Partly Cloudy ,15.7,0,0,61.0,Montevideo,Montevideo,Uruguay,-34.8581,-56.1708,2025-03-30 13:16
2025-03-31,5,Light rain,18.0,1,100,91.0,Montevideo,Montevideo,Uruguay,-34.8581,-56.1708,2025-03-30 13:16
2025-03-30,5,Clear ,17.3,0,0,67.0,Montevideo,Montevideo,Uruguay,-34.8581,-56.1708,2025-03-30 13:16
2025-04-01,5,Clear ,15.5,0,0,62.0,Montevideo,Montevideo,Uruguay,-34.8581,-56.1708,2025-03-30 13:16
2025-03-31,6,Moderate rain,17.1,1,100,94.0,Montevideo,Montevideo,Uruguay,-34.8581,-56.1708,2025-03-30 13:16
