Fecha,Hora,Condicion,Temperatura,Lluvia,Prob_lluvia,Humedad,Ciudad,Region,Pais,Latitud,Longitud,Fecha_Hora_local
2025-03-30,0,Partly Cloudy ,25.3,0,0,85.0,Panama City,Panama,Panama,8.9667,-79.5333,2025-03-30 11:13
2025-04-01,0,Clear ,23.4,0,0,89.0,Panama City,Panama,Panama,8.9667,-79.5333,2025-03-30 11:13
2025-03-31,0,Clear ,24.0,0,0,90.0,Panama City,Panama,Panama,8.9667,-79.5333,2025-03-30 11:13
2025-03-30,1,Partly Cloudy ,25.3,0,0,86.0,Panama City,Panama,Panama,8.9667,-79.5333,2025-03-30 11:13
2025-04-01,1,Clear ,23.1,0,0,90.0,Panama City,Panama,Panama,8.9667,-79.5333,2025-03-30 11:13
2025-03-31,1,Clear ,23.9,0,0,90.0,Panama City,Panama,Panama,8.9667,-79.5333,2025-03-30 11:13
2025-03-30,2,Patchy rain nearby,25.0,0,64,88.0,Panama City,Panama,Panama,8.9667,-79.5333,2025-03-30 11:13
2025-04-01,2,Clear ,23.0,0,0,90.0,Panama City,Panama,Panama,8.9667,-79.5333,2025-03-30 11:13
2025-03-31,2,Clear ,23.6,0,0,90.0,Panama City,Panama,Panama,8.9667,-79.5333,2025-03-30 11:13
2025-04-01,3,Clear ,22.9,0,0,89.0,Panama City,Panama,Panama,8.9667,-79.5333,2025-03-30 11:13
2025-03-31,3,Clear ,23.6,0,0,90.0,Panama City,Panama,Panama,8.9667,-79.5333,2025-03-30 11:13
2025-03-30,3,Patchy rain nearby,24.5,1,80,91.0,Panama City,Panama,Panama,8.9667,-79.5333,2025-03-30 11:13
2025-03-31,4,Clear ,23.5,0,0,90.0,Panama City,Panama,Panama,8.9667,-79.5333,2025-03-30 11:13
2025-03-30,4,Partly Cloudy ,24.3,0,0,92.0,Panama City,Panama,Panama,8.9667,-79.5333,2025-03-30 11:13
2025-04-01,4,Clear ,22.7,0,0,88.0,Panama City,Panama,Panama,8.9667,-79.5333,2025-03-30 11:13
2025-03-31,5,Clear ,23.5,0,0,91.0,Panama City,Panama,Panama,8.9667,-79.5333,2025-03-30 11:13
2025-03-30,5,Cloudy ,24.5,0,0,91.0,Panama City,Panama,Panama,8.9667,-79.5333,2025-03-30 11:13
2025-04-01,5,Clear ,22.6,0,0,89.0,Panama City,Panama,Panama,8.9667,-79.5333,2025-03-30 11:13
2025-03-31,6,Clear ,23.4,0,0,91.0,Panama City,Panama,Panama,8.9667,-79.5333,2025-03-30 11:13
2025-04-01,6,Clear ,22.5,0,0,89.0,Panama City,Panama,Panama,8.9667,-79.5333,2025-03-30 11:13
2025-03-30,6,Patchy rain nearby,24.9,0,69,88.0,Panama City,Panama,Panama,8.9667,-79.5333,2025-03-30 11:13
2025-04-01,7,Sunny,23.4,0,0,85.0,Panama City,Panama,Panama,8.9667,-79.5333,2025-03-30 11:13
2025-03-30,7,Patchy rain nearby,25.5,1,86,85.0,Panama City,Panama,Panama,8.9667,-79.5333,2025-03-30 11:13
2025-03-31,7,Sunny,24.3,0,0,87.0,Panama City,Panama,Panama,8.9667,-79.5333,2025-03-30 11:13
2025-04-01,8,Sunny,26.2,0,0,71.0,Panama City,Panama,Panama,8.9667,-79.5333,2025-03-30 11:13
2025-03-30,8,Patchy rain nearby,26.7,1,100,79.0,Panama City,Panama,Panama,8.9667,-79.5333,2025-03-30 11:13
2025-03-31,8,Sunny,26.6,0,0,76.0,Panama City,Panama,Panama,8.9667,-79.5333,2025-03-30 11:13
