Fecha,Hora,Condicion,Temperatura,Lluvia,Prob_lluvia,Humedad,Ciudad,Region,Pais,Latitud,Longitud,Fecha_Hora_local
2025-03-30,0,Partly Cloudy ,19.2,0,0,84.0,Port-Au-Prince,Ouest,Haiti,18.5392,-72.335,2025-03-30 12:16
2025-04-01,0,Clear ,18.7,0,0,80.0,Port-Au-Prince,Ouest,Haiti,18.5392,-72.335,2025-03-30 12:16
2025-03-31,0,Clear ,20.4,0,0,86.0,Port-Au-Prince,Ouest,Haiti,18.5392,-72.335,2025-03-30 12:16
2025-03-30,1,Clear ,18.4,0,0,88.0,Port-Au-Prince,Ouest,Haiti,18.5392,-72.335,2025-03-30 12:16
2025-04-01,1,Clear ,18.2,0,0,83.0,Port-Au-Prince,Ouest,Haiti,18.5392,-72.335,2025-03-30 12:16
2025-03-31,1,Clear ,19.2,0,0,86.0,Port-Au-Prince,Ouest,Haiti,18.5392,-72.335,2025-03-30 12:16
2025-03-30,2,Clear ,17.8,0,0,90.0,Port-Au-Prince,Ouest,Haiti,18.5392,-72.335,2025-03-30 12:16
2025-04-01,2,Clear ,17.9,0,0,84.0,Port-Au-Prince,Ouest,Haiti,18.5392,-72.335,2025-03-30 12:16
2025-03-31,2,Clear ,18.3,0,0,89.0,Port-Au-Prince,Ouest,Haiti,18.5392,-72.335,2025-03-30 12:16
2025-04-01,3,Clear ,17.7,0,0,85.0,Port-Au-Prince,Ouest,Haiti,18.5392,-72.335,2025-03-30 12:16
2025-03-31,3,Clear ,17.7,0,0,91.0,Port-Au-Prince,Ouest,Haiti,18.5392,-72.335,2025-03-30 12:16
2025-03-30,3,Clear ,17.4,0,0,91.0,Port-Au-Prince,Ouest,Haiti,18.5392,-72.335,2025-03-30 12:16
2025-03-31,4,Clear ,18.8,0,0,93.0,Port-Au-Prince,Ouest,Haiti,18.5392,-72.335,2025-03-30 12:16
2025-03-30,4,Clear ,17.0,0,0,91.0,Port-Au-Prince,Ouest,Haiti,18.5392,-72.335,2025-03-30 12:16
2025-04-01,4,Clear ,19.0,0,0,86.0,Port-Au-Prince,Ouest,Haiti,18.5392,-72.335,2025-03-30 12:16
