Fecha,Hora,Condicion,Temperatura,Lluvia,Prob_lluvia,Humedad,Ciudad,Region,Pais,Latitud,Longitud,Fecha_Hora_local
2025-03-30,0,Mist,10.3,0,0,94.0,Quito,Pichincha,Ecuador,-0.2167,-78.5,2025-03-30 11:16
2025-04-01,0,Light rain shower,10.6,1,100,95.0,Quito,Pichincha,Ecuador,-0.2167,-78.5,2025-03-30 11:16
2025-03-31,0,Mist,10.9,1,85,94.0,Quito,Pichincha,Ecuador,-0.2167,-78.5,2025-03-30 11:16
2025-03-30,1,Patchy rain nearby,10.1,1,74,96.0,Quito,Pichincha,Ecuador,-0.2167,-78.5,2025-03-30 11:16
2025-04-01,1,Light rain shower,10.1,1,100,97.0,Quito,Pichincha,Ecuador,-0.2167,-78.5,2025-03-30 11:16
2025-03-31,1,Mist,10.5,1,100,96.0,Quito,Pichincha,Ecuador,-0.2167,-78.5,2025-03-30 11:16
2025-03-30,2,Mist,10.4,1,100,95.0,Quito,Pichincha,Ecuador,-0.2167,-78.5,2025-03-30 11:16
2025-04-01,2,Patchy light drizzle,10.4,1,100,96.0,Quito,Pichincha,Ecuador,-0.2167,-78.5,2025-03-30 11:16
2025-03-31,2,Mist,10.5,1,74,96.0,Quito,Pichincha,Ecuador,-0.2167,-78.5,2025-03-30 11:16
2025-04-01,3,Light rain shower,10.3,1,100,95.0,Quito,Pichincha,Ecuador,-0.2167,-78.5,2025-03-30 11:16
2025-03-31,3,Mist,10.5,0,68,96.0,Quito,Pichincha,Ecuador,-0.2167,-78.5,2025-03-30 11:16
2025-03-30,3,Patchy light drizzle,10.9,1,100,94.0,Quito,Pichincha,Ecuador,-0.2167,-78.5,2025-03-30 11:16
2025-03-31,4,Fog,10.1,1,85,97.0,Quito,Pichincha,Ecuador,-0.2167,-78.5,2025-03-30 11:16
2025-03-30,4,Patchy rain nearby,11.1,1,100,93.0,Quito,Pichincha,Ecuador,-0.2167,-78.5,2025-03-30 11:16
2025-04-01,4,Mist,10.1,0,54,95.0,Quito,Pichincha,Ecuador,-0.2167,-78.5,2025-03-30 11:16
2025-03-31,5,Mist,10.1,1,100,95.0,Quito,Pichincha,Ecuador,-0.2167,-78.5,2025-03-30 11:16
