Fecha,Hora,Condicion,Temperatura,Lluvia,Prob_lluvia,Humedad,Ciudad,Region,Pais,Latitud,Longitud,Fecha_Hora_local
2025-03-30,0,Partly Cloudy ,22.6,0,0,94.0,Santo Domingo,Distrito Nacional,Dominican Republic,18.4667,-69.9,2025-03-30 12:16
2025-04-01,0,Partly Cloudy ,23.1,0,0,83.0,Santo Domingo,Distrito Nacional,Dominican Republic,18.4667,-69.9,2025-03-30 12:16
2025-03-31,0,Partly Cloudy ,22.8,0,0,90.0,Santo Domingo,Distrito Nacional,Dominican Republic,18.4667,-69.9,2025-03-30 12:16
2025-03-30,1,Cloudy ,22.7,0,0,94.0,Santo Domingo,Distrito Nacional,Dominican Republic,18.4667,-69.9,2025-03-30 12:16
2025-04-01,1,Partly Cloudy ,23.1,0,0,83.0,Santo Domingo,Distrito Nacional,Dominican Republic,18.4667,-69.9,2025-03-30 12:16
2025-03-31,1,Partly Cloudy ,22.5,0,0,91.0,Santo Domingo,Distrito Nacional,Dominican Republic,18.4667,-69.9,2025-03-30 12:16
2025-03-30,2,Partly Cloudy ,22.6,0,0,95.0,Santo Domingo,Distrito Nacional,Dominican Republic,18.4667,-69.9,2025-03-30 12:16
2025-04-01,2,Partly Cloudy ,22.8,0,0,84.0,Santo Domingo,Distrito Nacional,Dominican Republic,18.4667,-69.9,2025-03-30 12:16
2025-03-31,2,Partly Cloudy ,22.4,0,0,92.0,Santo Domingo,Distrito Nacional,Dominican Republic,18.4667,-69.9,2025-03-30 12:16
2025-04-01,3,Partly Cloudy ,22.5,0,0,88.0,Santo Domingo,Distrito Nacional,Dominican Republic,18.4667,-69.9,2025-03-30 12:16
2025-03-31,3,Partly Cloudy ,22.4,0,0,91.0,Santo Domingo,Distrito Nacional,Dominican Republic,18.4667,-69.9,2025-03-30 12:16
2025-03-30,3,Partly Cloudy ,22.5,0,0,94.0,Santo Domingo,Distrito Nacional,Dominican Republic,18.4667,-69.9,2025-03-30 12:16
2025-03-31,4,Partly Cloudy ,22.4,0,0,92.0,Santo Domingo,Distrito Nacional,Dominican Republic,18.4667,-69.9,2025-03-30 12:16
2025-03-30,4,Cloudy ,22.6,0,0,93.0,Santo Domingo,Distrito Nacional,Dominican Republic,18.4667,-69.9,2025-03-30 12:16
2025-04-01,4,Partly Cloudy ,22.3,0,0,90.0,Santo Domingo,Distrito Nacional,Dominican Republic,18.4667,-69.9,2025-03-30 12:16
2025-03-31,5,Partly Cloudy ,22.4,0,0,92.0,Santo Domingo,Distrito Nacional,Dominican Republic,18.4667,-69.9,2025-03-30 12:16
2025-03-30,5,Partly Cloudy ,22.6,0,0,92.0,Santo Domingo,Distrito Nacional,Dominican Republic,18.4667,-69.9,2025-03-30 12:16
2025-04-01,5,Partly Cloudy ,22.4,0,0,92.0,Santo Domingo,Distrito Nacional,Dominican Republic,18.4667,-69.9,2025-03-30 12:16
2025-03-31,6,Partly Cloudy ,22.2,0,0,91.0,Santo Domingo,Distrito Nacional,Dominican Republic,18.4667,-69.9,2025-03-30 12:16
2025-04-01,6,Partly Cloudy ,22.6,0,0,90.0,Santo Domingo,Distrito Nacional,Dominican Republic,18.4667,-69.9,2025-03-30 12:16
2025-03-30,6,Partly Cloudy ,22.7,0,0,92.0,Santo Domingo,Distrito Nacional,Dominican Republic,18.4667,-69.9,2025-03-30 12:16
2025-04-01,7,Partly Cloudy ,22.8,0,0,90.0,Santo Domingo,Distrito Nacional,Dominican Republic,18.4667,-69.9,2025-03-30 12:16
2025-03-30,7,Partly Cloudy ,23.0,0,0,91.0,Santo Domingo,Distrito Nacional,Dominican Republic,18.4667,-69.9,2025-03-30 12:16
2025-03-31,7,Partly Cloudy ,22.8,0,0,93.0,Santo Domingo,Distrito Nacional,Dominican Republic,18.4667,-69.9,2025-03-30 12:16
2025-04-01,8,Partly Cloudy ,24.3,0,0,89.0,Santo Domingo,Distrito Nacional,Dominican Republic,18.4667,-69.9,2025-03-30 12:16
2025-03-30,8,Partly Cloudy ,24.1,0,0,87.0,Santo Domingo,Distrito Nacional,Dominican Republic,18.4667,-69.9,2025-03-30 12:16
2025-03-31,8,Sunny,23.9,0,0,87.0,Santo Domingo,Distrito Nacional,Dominican Republic,18.4667,-69.9,2025-03-30 12:16
2025-04-01,9,Partly Cloudy ,25.7,0,0,73.0,Santo Domingo,Distrito Nacional,Dominican Republic,18.4667,-69.9,2025-03-30 12:16
2025-03-30,9,Sunny,25.5,0,0,78.0,Santo Domingo,Distrito Nacional,Dominican Republic,18.4667,-69.9,2025-03-30 12:16
2025-03-31,9,Partly Cloudy ,25.0,0,0,81.0,Santo Domingo,Distrito Nacional,Dominican Republic,18.4667,-69.9,2025-03-30 12:16
2025-03-31,10,Sunny,26.5,0,0,69.0,Santo Domingo,Distrito Nacional,Dominican Republic,18.4667,-69.9,2025-03-30 12:16
2025-04-01,10,Partly Cloudy ,27.2,0,0,65.0,Santo Domingo,Distrito Nacional,Dominican Republic,18.4667,-69.9,2025-03-30 12:16
2025-03-30,10,Sunny,28.4,0,0,71.0,Santo Domingo,Distrito Nacional,Dominican Republic,18.4667,-69.9,2025-03-30 12:16
