Fecha,Hora,Condicion,Temperatura,Lluvia,Prob_lluvia,Humedad,Ciudad,Region,Pais,Latitud,Longitud,Fecha_Hora_local
2025-03-30,0,Clear ,17.1,0,0,75.0,Tegucigalpa,Francisco Morazan,Honduras,14.1,-87.2167,2025-03-30 10:16
2025-04-01,0,Patchy rain nearby,19.4,1,100,71.0,Tegucigalpa,Francisco Morazan,Honduras,14.1,-87.2167,2025-03-30 10:16
2025-03-31,0,Patchy rain nearby,16.9,1,100,86.0,Tegucigalpa,Francisco Morazan,Honduras,14.1,-87.2167,2025-03-30 10:16
2025-03-30,1,Clear ,16.1,0,0,81.0,Tegucigalpa,Francisco Morazan,Honduras,14.1,-87.2167,2025-03-30 10:16
2025-04-01,1,Patchy rain nearby,18.6,1,100,75.0,Tegucigalpa,Francisco Morazan,Honduras,14.1,-87.2167,2025-03-30 10:16
2025-03-31,1,Patchy rain nearby,16.4,1,71,87.0,Tegucigalpa,Francisco Morazan,Honduras,14.1,-87.2167,2025-03-30 10:16
2025-03-30,2,Clear ,15.3,0,0,84.0,Tegucigalpa,Francisco Morazan,Honduras,14.1,-87.2167,2025-03-30 10:16
2025-04-01,2,Patchy rain nearby,17.8,1,83,78.0,Tegucigalpa,Francisco Morazan,Honduras,14.1,-87.2167,2025-03-30 10:16
2025-03-31,2,Partly Cloudy ,16.0,0,0,90.0,Tegucigalpa,Francisco Morazan,Honduras,14.1,-87.2167,2025-03-30 10:16
2025-04-01,3,Partly Cloudy ,17.2,0,0,81.0,Tegucigalpa,Francisco Morazan,Honduras,14.1,-87.2167,2025-03-30 10:16
2025-03-31,3,Partly Cloudy ,15.7,0,0,91.0,Tegucigalpa,Francisco Morazan,Honduras,14.1,-87.2167,2025-03-30 10:16
2025-03-30,3,Clear ,14.8,0,0,87.0,Tegucigalpa,Francisco Morazan,Honduras,14.1,-87.2167,2025-03-30 10:16
2025-03-31,4,Clear ,15.4,0,0,92.0,Tegucigalpa,Francisco Morazan,Honduras,14.1,-87.2167,2025-03-30 10:16
2025-03-30,4,Partly Cloudy ,14.4,0,0,89.0,Tegucigalpa,Francisco Morazan,Honduras,14.1,-87.2167,2025-03-30 10:16
2025-04-01,4,Partly Cloudy ,16.7,0,0,83.0,Tegucigalpa,Francisco Morazan,Honduras,14.1,-87.2167,2025-03-30 10:16
