Fecha,Hora,Condicion,Temperatura,Lluvia,Prob_lluvia,Humedad,Ciudad,Region,Pais,Latitud,Longitud,Fecha_Hora_local
2025-03-30,0,Mist,14.8,0,0,95.0,San Jose,San Jose,Costa Rica,9.9333,-84.0833,2025-03-30 10:23
2025-04-01,0,Mist,15.4,0,0,96.0,San Jose,San Jose,Costa Rica,9.9333,-84.0833,2025-03-30 10:23
2025-03-31,0,Mist,15.6,0,0,97.0,San Jose,San Jose,Costa Rica,9.9333,-84.0833,2025-03-30 10:23
2025-03-30,1,Mist,14.6,0,0,95.0,San Jose,San Jose,Costa Rica,9.9333,-84.0833,2025-03-30 10:23
2025-04-01,1,Mist,14.9,0,0,96.0,San Jose,San Jose,Costa Rica,9.9333,-84.0833,2025-03-30 10:23
2025-03-31,1,Mist,15.3,0,70,96.0,San Jose,San Jose,Costa Rica,9.9333,-84.0833,2025-03-30 10:23
2025-03-30,2,Mist,14.2,0,0,95.0,San Jose,San Jose,Costa Rica,9.9333,-84.0833,2025-03-30 10:23
2025-04-01,2,Mist,14.4,0,0,96.0,San Jose,San Jose,Costa Rica,9.9333,-84.0833,2025-03-30 10:23
2025-03-31,2,Mist,14.8,0,0,96.0,San Jose,San Jose,Costa Rica,9.9333,-84.0833,2025-03-30 10:23
2025-04-01,3,Mist,14.0,0,0,96.0,San Jose,San Jose,Costa Rica,9.9333,-84.0833,2025-03-30 10:23
2025-03-31,3,Mist,14.5,0,0,95.0,San Jose,San Jose,Costa Rica,9.9333,-84.0833,2025-03-30 10:23
2025-03-30,3,Mist,13.9,0,0,95.0,San Jose,San Jose,Costa Rica,9.9333,-84.0833,2025-03-30 10:23
2025-03-31,4,Mist,14.4,0,0,95.0,San Jose,San Jose,Costa Rica,9.9333,-84.0833,2025-03-30 10:23
2025-03-30,4,Mist,13.6,0,0,94.0,San Jose,San Jose,Costa Rica,9.9333,-84.0833,2025-03-30 10:23
2025-04-01,4,Mist,13.7,0,0,95.0,San Jose,San Jose,Costa Rica,9.9333,-84.0833,2025-03-30 10:23
2025-03-31,5,Mist,14.1,0,0,95.0,San Jose,San Jose,Costa Rica,9.9333,-84.0833,2025-03-30 10:23
2025-03-30,5,Partly Cloudy ,13.5,0,0,93.0,San Jose,San Jose,Costa Rica,9.9333,-84.0833,2025-03-30 10:23
2025-04-01,5,Mist,13.4,0,0,95.0,San Jose,San Jose,Costa Rica,9.9333,-84.0833,2025-03-30 10:23
2025-03-31,6,Mist,14.1,0,0,94.0,San Jose,San Jose,Costa Rica,9.9333,-84.0833,2025-03-30 10:23
2025-04-01,6,Mist,14.8,0,0,95.0,San Jose,San Jose,Costa Rica,9.9333,-84.0833,2025-03-30 10:23
2025-03-30,6,Sunny,13.7,0,0,91.0,San Jose,San Jose,Costa Rica,9.9333,-84.0833,2025-03-30 10:23
2025-04-01,7,Sunny,18.6,0,0,83.0,San Jose,San Jose,Costa Rica,9.9333,-84.0833,2025-03-30 10:23
2025-03-30,7,Sunny,17.7,0,0,78.0,San Jose,San Jose,Costa Rica,9.9333,-84.0833,2025-03-30 10:23
2025-03-31,7,Sunny,17.5,0,0,84.0,San Jose,San Jose,Costa Rica,9.9333,-84.0833,2025-03-30 10:23
2025-04-01,8,Sunny,21.6,0,0,64.0,San Jose,San Jose,Costa Rica,9.9333,-84.0833,2025-03-30 10:23
2025-03-30,8,Sunny,22.1,0,0,57.0,San Jose,San Jose,Costa Rica,9.9333,-84.0833,2025-03-30 10:23
2025-03-31,8,Sunny,21.2,0,0,70.0,San Jose,San Jose,Costa Rica,9.9333,-84.0833,2025-03-30 10:23
2025-04-01,9,Sunny,25.0,0,0,43.0,San Jose,San Jose,Costa Rica,9.9333,-84.0833,2025-03-30 10:23
2025-03-30,9,Sunny,25.5,0,0,43.0,San Jose,San Jose,Costa Rica,9.9333,-84.0833,2025-03-30 10:23
2025-03-31,9,Sunny,24.9,0,0,54.0,San Jose,San Jose,Costa Rica,9.9333,-84.0833,2025-03-30 10:23
2025-03-31,10,Patchy rain nearby,27.1,1,81,46.0,San Jose,San Jose,Costa Rica,9.9333,-84.0833,2025-03-30 10:23
2025-04-01,10,Sunny,27.4,0,0,33.0,San Jose,San Jose,Costa Rica,9.9333,-84.0833,2025-03-30 10:23
2025-03-30,10,Partly cloudy,26.1,0,0,51.0,San Jose,San Jose,Costa Rica,9.9333,-84.0833,2025-03-30 10:23
2025-04-01,11,Sunny,28.7,0,0,30.0,San Jose,San Jose,Costa Rica,9.9333,-84.0833,2025-03-30 10:23
2025-03-31,11,Patchy light drizzle,28.0,1,100,46.0,San Jose,San Jose,Costa Rica,9.9333,-84.0833,2025-03-30 10:23
2025-03-30,11,Patchy rain nearby,28.9,1,83,37.0,San Jose,San Jose,Costa Rica,9.9333,-84.0833,2025-03-30 10:23
2025-03-31,12,Patchy rain nearby,26.0,1,100,56.0,San Jose,San Jose,Costa Rica,9.9333,-84.0833,2025-03-30 10:23
2025-04-01,12,Sunny,29.1,0,0,31.0,San Jose,San Jose,Costa Rica,9.9333,-84.0833,2025-03-30 10:23
2025-03-30,12,Patchy rain nearby,29.0,1,100,40.0,San Jose,San Jose,Costa Rica,9.9333,-84.0833,2025-03-30 10:23
2025-04-01,13,Patchy rain nearby,28.6,0,69,35.0,San Jose,San Jose,Costa Rica,9.9333,-84.0833,2025-03-30 10:23
